mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.474029858907064,0.14964112970189805,0.16222103436787924,0.0002212182974138441,0.5,0.1,8,300,0.8,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 8, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.6,0.6,0.6410256410256411,0.6136752136752137,0.019339672647837234,158
1.543433666229248,0.008273487935075931,0.21144549051920572,0.011294147308384343,0.5,0.1,8,300,1.0,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 8, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.7,0.625,0.6410256410256411,0.6553418803418803,0.03224867988119694,10
4.215915203094482,0.36632602762590233,0.2215579350789388,0.014630616606098379,0.5,0.1,8,500,0.5,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 8, 'model__n_estimators': 500, 'model__subsample': 0.5}",0.6,0.525,0.5641025641025641,0.563034188034188,0.03062794008273717,280
3.8324832121531167,0.051493119872272605,0.2534308433532715,0.006216667449757666,0.5,0.1,8,500,0.8,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 8, 'model__n_estimators': 500, 'model__subsample': 0.8}",0.6,0.6,0.6410256410256411,0.6136752136752137,0.019339672647837234,158
2.9074583053588867,0.24649398429350206,0.257110595703125,0.006186786093562645,0.5,0.1,8,500,1.0,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 8, 'model__n_estimators': 500, 'model__subsample': 1.0}",0.7,0.625,0.6410256410256411,0.6553418803418803,0.03224867988119694,10
1.1780884265899658,0.08087178784484247,0.09050885836283366,0.004445101080081634,0.5,0.1,10,100,0.5,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 10, 'model__n_estimators': 100, 'model__subsample': 0.5}",0.575,0.65,0.5897435897435898,0.60491452991453,0.03244346949441635,199
1.1103520393371582,0.2264089139975115,0.09550865491231282,0.007141054274247534,0.5,0.1,10,100,0.8,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 10, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.6,0.625,0.5897435897435898,0.60491452991453,0.014806936871000351,199
0.7647273540496826,0.028479443854473128,0.11147809028625488,0.0033783235309821705,0.5,0.1,10,100,1.0,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 10, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.55,0.675,0.6153846153846154,0.6134615384615385,0.05104915062067832,163
2.7556570370992026,0.22008959529721653,0.15410995483398438,0.003348734891401394,0.5,0.1,10,300,0.5,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 10, 'model__n_estimators': 300, 'model__subsample': 0.5}",0.575,0.65,0.5641025641025641,0.5963675213675214,0.03818394601995399,233
2.654067039489746,0.21000309319386296,0.18118699391682944,0.01085435774537115,0.5,0.1,10,300,0.8,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 10, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.6,0.575,0.6410256410256411,0.6053418803418803,0.027218230194754056,184
1.6577367782592773,0.028298498885736684,0.1954198678334554,0.016235967919842616,0.5,0.1,10,300,1.0,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 10, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.65,0.625,0.6410256410256411,0.6386752136752136,0.010340644130395621,44
4.192450602849324,0.020704675680751072,0.23363804817199707,0.009570924908231679,0.5,0.1,10,500,0.5,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 10, 'model__n_estimators': 500, 'model__subsample': 0.5}",0.6,0.525,0.5641025641025641,0.563034188034188,0.03062794008273717,280
3.722559372584025,0.04830029193601,0.23624038696289062,0.014891427493851632,0.5,0.1,10,500,0.8,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 10, 'model__n_estimators': 500, 'model__subsample': 0.8}",0.6,0.575,0.6153846153846154,0.5967948717948718,0.01664199357147076,218
2.597957134246826,0.2316448406013266,0.2649138768513997,0.008623013588371194,0.5,0.1,10,500,1.0,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 10, 'model__n_estimators': 500, 'model__subsample': 1.0}",0.625,0.625,0.6410256410256411,0.6303418803418803,0.007554559628061431,74
0.9961195786794027,0.02907568639274526,0.09404404958089192,0.005106875717868883,0.5,0.1,12,100,0.5,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.1, 'model__max_depth': 12, 'model__n_estimators': 100, 'model__subsample': 0.5}",0.575,0.65,0.5897435897435898,0.60491452991453,0.03244346949441635,199
